actor,awards,major,media_info,metacritic,score,title,years
Naveen Andrews,No Awards,Not Major Role,TV Series                                     -                             60 min                 - Drama,No Metacritic,7.6,The Beast,(2001– )
Naveen Andrews,No Awards,Major Role,TV Movie                         -                             89 min                 - Crime|Drama                 -              7 November 2000(USA),No Metacritic,4.4,The Chippendales Murder,(2000)
Naveen Andrews,"1 nomination.

See more awards »",Major Role,90 min                 - Drama|Fantasy                 -              21 January 2000(USA),No Metacritic,6.8,A Question of Faith,(2000)
Naveen Andrews,"1 nomination.

See more awards »",Major Role,88 min                 - Drama                 -              October 1999(USA),No Metacritic,5.4,Drowning on Dry Land,(1999)
Naveen Andrews,"Nominated for 1 Oscar.
Another 1 win & 2 nominations.

See more awards »",Major Role,114 min                 - Action|Adventure|Family                 -              25 December 1998(USA),No Metacritic,5.5,Mighty Joe Young,(1998)
Naveen Andrews,"1 nomination.

See more awards »",Major Role,105 min                 - Comedy|Drama                 -              13 September 1998(Canada),No Metacritic,7.0,Bombay Boys,(1998)
Naveen Andrews,"5 nominations.

See more awards »",Major Role,TV Movie                     -                                 95 min                 - Drama                 -              1998(USA),No Metacritic,7.2,My Own Country,(1998)
Naveen Andrews,"1 nomination.

See more awards »",Major Role,97 min                 - Drama                 -              22 May 1997(Australia),No Metacritic,5.8,True Love and Chaos,(1997)
Naveen Andrews,"Won 9 Oscars.
Another 51 wins & 49 nominations.

See more awards »",Major Role,162 min                 - Drama|Romance|War                 -              6 December 1996(USA),87/100,7.4,The English Patient,(1996)
Naveen Andrews,"1 win & 1 nomination.

See more awards »",Major Role,114 min                 - Crime|Drama|History                 -              28 February 1997(USA),No Metacritic,6.0,Kama Sutra: A Tale of Love,(1996)
Naveen Andrews,No Awards,Major Role,TV Movie                         -                             149 min                 - Drama                 -              1 January 1996(UK),No Metacritic,8.3,The Peacock Spring,(1996)
Naveen Andrews,"1 win & 6 nominations.

See more awards »",Major Role,TV Mini-Series                         -                             222 min                 - Comedy|Drama,No Metacritic,7.4,The Buddha of Suburbia,(1993)
Naveen Andrews,No Awards,Major Role,TV Movie                     -                                 92 min                 - Drama|Mystery|Thriller                 -              2 December 1992(USA),No Metacritic,5.2,Double Vision,(1992)
Naveen Andrews,No Awards,Major Role,85 min                 - Comedy                 -              5 November 1993(USA),No Metacritic,6.2,Wild West,(1992)
Naveen Andrews,No Awards,Major Role,107 min                 - Comedy|Drama                 -              13 December 1991(UK),No Metacritic,6.4,London Kills Me,(1991)
Naveen Andrews,No Awards,Unable to get actors,TV Series                                     -                             60 min                 - Action|Drama|Sci-Fi| See all in-development titles on IMDbPro,No Metacritic,Not yet released,J.A.E.,Unable to get Years
Matthew Fox,No Awards,Major Role,Horror|Western                 -              2015(USA),No Metacritic,Not yet released,Bone Tomahawk,(2015)
Matthew Fox,No Awards,Major Role,2015(USA),No Metacritic,Not yet released,Extinction,(2015)
Matthew Fox,"4 wins & 18 nominations.

See more awards »",Major Role,116 min                 - Action|Adventure|Horror                 -              21 June 2013(USA),63/100,7.0,World War Z,(2013)
Matthew Fox,"5 nominations.

See more awards »",Major Role,101 min                 - Action|Crime|Mystery                 -              19 October 2012(USA),30/100,5.1,Alex Cross,(2012)
Matthew Fox,"1 win.

See more awards »",Major Role,105 min                 - Drama|History                 -              27 July 2013(Japan),48/100,6.5,Emperor,(2012)
Matthew Fox,"Won 1 Golden Globe.
Another 69 wins & 296 nominations.

See more awards »",Major Role,TV Series                                 -                                 44 min                 - Adventure|Drama|Fantasy,No Metacritic,8.5,Lost,(2004–2010)
Matthew Fox,No Awards,Major Role,Video Game                         -              6 May 2008(USA),No Metacritic,6.0,Speed Racer,(2008)
Matthew Fox,"10 nominations.

See more awards »",Not Major Role,135 min                 - Action|Family|Sport                 -              9 May 2008(USA),37/100,6.1,Speed Racer,(2008)
Matthew Fox,"2 wins & 2 nominations.

See more awards »",Major Role,90 min                 - Action|Crime|Drama                 -              22 February 2008(USA),40/100,6.6,Vantage Point,(2008)
Matthew Fox,"Nominated for 1 Primetime Emmy.


See more awards »",Major Role,TV Mini-Series                         -                             33 min                 - Drama|Fantasy|Sci-Fi,No Metacritic,8.2,Lost: Missing Pieces,(2007)
Matthew Fox,"1 nomination.

See more awards »",Major Role,131 min                 - Drama|Sport                 -              22 December 2006(USA),53/100,7.1,We Are Marshall,(2006)
Matthew Fox,"Won 45 Primetime Emmys.
Another 30 wins & 222 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 90 min                 - Comedy|Music,No Metacritic,8.2,Saturday Night Live,(1975– )
